Date,Open,High,Low,Close,Volume
2000-03-14,3690.86,3745.58,3645.35,3645.35,220225
2000-03-15,3690.86,3754.65,3663.69,3727.31,272018
2000-03-16,3727.31,3791.11,3618.07,3690.86,286831
2000-03-17,3699.95,3900.52,3690.86,3873.17,256546
2000-03-21,3873.17,3900.52,3745.58,3827.64,126517
2000-03-22,3863.98,3973.4,3836.73,3909.63,222199
2000-03-23,3891.34,3891.34,3782.02,3873.17,133430
2000-03-24,3873.17,4082.82,3873.17,4009.85,253691
2000-03-27,4055.38,4137.44,4018.94,4101,192904
2000-03-28,4128.36,4137.44,4046.3,4119.17,94916
2000-03-29,4073.66,4110.1,3973.4,4009.85,142866
2000-03-30,3973.4,4101,3964.23,3982.59,197401
2000-03-31,4000.76,4037.21,3918.78,3955.13,131017
2000-04-03,3936.97,4037.21,3900.52,3991.69,174030
2000-04-04,3991.69,4082.82,3964.23,4055.38,189172
2000-04-05,4055.38,4183.08,4009.85,4101,205301
2000-04-06,4110.1,4128.36,4000.76,4009.85,303291
2000-04-07,4018.94,4046.3,3991.69,3991.69,157132
2000-04-10,3946.06,3973.4,3927.88,3927.88,166678
2000-04-11,3918.78,4028.11,3863.98,3964.23,134967
2000-04-12,3964.23,4091.92,3918.78,4091.92,188404
2000-04-13,4137.44,4237.77,4055.38,4228.59,491584
2000-04-14,4228.59,4283.3,4183.08,4219.43,342574
2000-04-17,4037.21,4228.59,4037.21,4228.59,205850
2000-04-18,4246.87,4255.94,4164.8,4255.94,180174
2000-04-19,4192.16,4255.94,4137.44,4192.16,168215
2000-04-20,4110.1,4164.8,4064.56,4082.82,246889
2000-04-21,4101,4183.08,3800.19,3818.55,326334
2000-04-24,4091.92,4310.67,4091.92,4301.49,458775
2000-04-25,4237.77,4255.94,4173.88,4192.16,165800
2000-04-26,4192.16,4219.43,4137.44,4164.8,137930
2000-04-27,4110.1,4128.36,3982.59,3982.59,230432
2000-04-28,4028.11,4064.56,3854.9,3918.78,262250
2000-05-01,3955.13,3955.13,3836.73,3900.52,168215
2000-05-02,3854.9,3891.34,3736.49,3891.34,348059
2000-05-08,3891.34,4046.3,3863.98,4028.11,215618
2000-05-09,4009.85,4037.21,3936.97,3946.06,119604
2000-05-10,3946.06,4037.21,3909.63,4000.76,240305
